142	89	0.752357
127	112	0.978536
131	132	1.25681
150	137	1.48525
165	128	1.71405
169	109	1.90153
160	98	2.10981
156	96	2.31974
113	151	2.89275
134	157	3.09085
134	157	3.27651
156	155	3.44063
156	155	3.58903
176	152	3.73571
176	152	3.88733
193	151	4.03214
194	151	4.16393
153	169	4.49446
151	174	4.67353
150	189	4.83128
151	194	4.96687
170	174	5.26534
174	188	5.43495
174	194	5.57808
175	204	5.70459
115	198	6.01073
117	209	6.1649
122	222	6.29734
124	233	6.4244
142	236	6.60153
148	235	6.73349
165	234	6.88296
188	234	7.01463
206	234	7.15528
214	234	7.28256
262	94	8.04669
275	98	8.22452
283	98	8.36255
297	99	8.51146
304	102	8.64644
306	114	8.74218
301	127	8.82863
295	140	8.95581
291	148	9.03929
282	162	9.15108
270	176	9.28165
295	142	9.54044
319	167	9.71637
328	173	9.86454
334	180	10.0255
290	152	10.2336
302	165	10.4161
302	166	10.5556
310	150	10.9238
324	150	11.0815
324	151	11.2257
334	153	11.357
346	155	11.4881
356	155	11.6253
364	97	11.92
367	116	12.088
370	136	12.2303
372	154	12.356
374	167	12.4732
374	190	12.6913
376	204	12.8225
323	208	13.3699
306	213	13.5144
305	226	13.6444
306	242	13.7728
310	253	13.8736
314	259	13.9724
320	262	14.0963
331	263	14.1755
346	263	14.2904
356	260	14.4167
371	229	14.5995
372	220	14.7611
358	208	14.9175
334	204	15.0529
368	218	15.3713
368	242	15.5004
366	254	15.6611
358	260	15.8014
482	60	16.281
537	90	16.5984
501	67	16.7983
498	67	16.9874
521	81	17.1384
522	82	17.2753
532	90	17.3955
450	102	17.6315
454	107	17.7961
474	116	17.9565
474	116	18.1017
486	116	18.2239
505	118	18.3435
518	118	18.4391
542	120	18.5576
566	122	18.6671
574	122	18.7667
587	123	18.9492
501	146	19.2256
492	163	19.3551
490	189	19.4924
502	206	19.6285
522	208	19.7605
535	191	19.8946
534	166	20.0693
529	158	20.2155
511	150	20.352
498	162	20.6421
498	190	20.8645
504	210	21.0306
522	209	21.1877
537	192	21.3581
